Stock Symbol,Company Name,ISIN Code,Action,Quantity,Transaction Price,Brokerage,Transaction Charges,StampDuty,Segment,STT Paid/Not Paid,Remarks,Transaction Date,Exchange
ABB,ABB INDIA LIMITED,INE117A01022,Buy,3,1189.45,29.52,0.11,0,Rolling,STT Paid,icicidirect,24-May-18,NSE
ABB,ABB INDIA LIMITED,INE117A01022,Buy,1,1228,29.51,0.04,0,Rolling,STT Paid,icicidirect,29-May-18,NSE
ABB,ABB INDIA LIMITED,INE117A01022,Buy,1,1239,14.76,0.04,0,Rolling,STT Paid,icicidirect,30-May-18,NSE
ABB,ABB INDIA LIMITED,INE117A01022,Buy,1,1238.6,14.75,0.04,0,Rolling,STT Paid,icicidirect,30-May-18,NSE
ABB,ABB INDIA LIMITED,INE117A01022,Sell,1,1176.5,29.51,0.04,0,Rolling,STT Paid,icicidirect,5-Jun-18,NSE
ABB,ABB INDIA LIMITED,INE117A01022,Buy,1,1160.1,29.51,0.03,0,Rolling,STT Paid,icicidirect,6-Jun-18,NSE
ABB,ABB INDIA LIMITED,INE117A01022,Buy,3,1203.5,29.52,0.11,0,Rolling,STT Paid,icicidirect,25-Jun-18,NSE
ABB,ABB INDIA LIMITED,INE117A01022,Buy,6,1208.9,47.11,0.22,0,Rolling,STT Paid,icicidirect,10-Aug-18,NSE
AXIBAN,AXIS BANK LIMITED,INE238A01034,Buy,21,617.55,84.24,0.39,0,Rolling,STT Paid,icicidirect,10-Aug-18,NSE
AXIBAN,AXIS BANK LIMITED,INE238A01034,Buy,11,617.55,44.12,0.2,0,Rolling,STT Paid,icicidirect,10-Aug-18,NSE
BAFINS,BAJAJ FINSERV LIMITED,INE918I01018,Buy,1,5910,31.41,0.18,3,Rolling,STT Paid,icicidirect,23-May-18,NSE
BAFINS,BAJAJ FINSERV LIMITED,INE918I01018,Buy,2,5790.35,61.56,0.35,0,Rolling,STT Paid,icicidirect,24-May-18,NSE
BAFINS,BAJAJ FINSERV LIMITED,INE918I01018,Sell,1,5936,31.55,0.18,0,Rolling,STT Paid,icicidirect,29-May-18,NSE
BAFINS,BAJAJ FINSERV LIMITED,INE918I01018,Buy,1,5779.95,30.72,0.17,0,Rolling,STT Paid,icicidirect,5-Jun-18,NSE
BAFINS,BAJAJ FINSERV LIMITED,INE918I01018,Buy,1,5807,30.87,0.17,0,Rolling,STT Paid,icicidirect,6-Jun-18,NSE
BAFINS,BAJAJ FINSERV LIMITED,INE918I01018,Buy,1,6267.15,33.31,0.19,0,Rolling,STT Paid,icicidirect,25-Jun-18,NSE
BAFINS,BAJAJ FINSERV LIMITED,INE918I01018,Buy,2,7023.9,91.25,0.42,0,Rolling,STT Paid,icicidirect,10-Aug-18,NSE
BIOCON,BIOCON LIMITED,INE376G01013,Buy,10,641.55,34.1,0.19,0,Rolling,STT Paid,icicidirect,24-May-18,NSE
BIOCON,BIOCON LIMITED,INE376G01013,Buy,4,678,29.51,0.08,0,Rolling,STT Paid,icicidirect,30-May-18,NSE
